NAME,Population,Median_Income
"Queens County, New York",2287388,31992
"Washington County, New York",61616,29231
"New York County, New York",1631993,50985
"Cayuga County, New York",77425,30756
"Rockland County, New York",324422,39095
"Niagara County, New York",210820,30704
"Essex County, New York",37459,30096
"Nassau County, New York",1356509,45285
"Schuyler County, New York",17920,25365
"Chenango County, New York",47909,27495
"Jefferson County, New York",112842,27607
"Suffolk County, New York",1483832,41227
"Wyoming County, New York",40305,31415
"Oswego County, New York",118339,27878
"Wayne County, New York",90519,30575
"Broome County, New York",193188,26593
"Hinsdale County, Colorado",857,30847
"Erie County, New York",919355,31856
"Sullivan County, New York",75116,29887
"Orange County, New York",380085,35300
"Haywood County, North Carolina",61053,27234
"Forsyth County, North Carolina",375195,29380
"Lake County, Indiana",485707,29975
"Montgomery County, Indiana",38287,29813
"Adams County, Indiana",35376,29570
"Fayette County, Indiana",23194,25447
"Clay County, Indiana",26234,30251
"Dubois County, Indiana",42543,31409
"Franklin County, Indiana",22774,30851
"Hancock County, Indiana",75164,37719
"Howard County, Indiana",82331,30252
"Ohio County, Indiana",5874,31364
"Parke County, Indiana",16946,26045
"Randolph County, Indiana",24926,26306
"Benton County, Indiana",8677,27002
"Brown County, Indiana",15064,29372
"Putnam County, Indiana",37384,27702
"Washington County, Indiana",27848,28197
"Daviess County, Indiana",33120,27372
"Henry County, Indiana",48255,26313
"Knox County, Indiana",37065,26503
"Madison County, Indiana",129455,26440
"Pike County, Indiana",12378,27043
"Pulaski County, Indiana",12559,27793
"Steuben County, Indiana",34453,28865
"Laramie County, Wyoming",98320,34055
"Teton County, Wyoming",23280,40914
"San Jacinto County, Texas",28180,22614
"Upshur County, Texas",41018,26279
"Waller County, Texas",51832,25613
"Wilson County, Texas",49173,32643
"Hockley County, Texas",23064,25420
"Midland County, Texas",168167,38804
"Llano County, Texas",21047,25152
"Fannin County, Texas",34537,28875
"Brazos County, Texas",222981,24118
"Gaines County, Texas",20706,27542
"Gray County, Texas",22410,26651
"Jack County, Texas",8852,24394
"Bosque County, Texas",18296,26155
"Bexar County, Texas",1952843,27976
"Baylor County, Texas",3577,22319
"Denton County, Texas",833822,40677
"Galveston County, Texas",332885,34255
"Roberts County, Texas",805,30806
"Uvalde County, Texas",26920,21037
"Bowie County, Texas",93373,27641
"Kent County, Texas",647,28333
"Somervell County, Texas",8860,30157
"Hardin County, Texas",56765,30905
"Leon County, Texas",17225,23653
"Newton County, Texas",13914,21019
"Reeves County, Texas",15492,22515
"Travis County, Texas",1226805,39860
"Collingsworth County, Texas",2969,21048
"Erath County, Texas",41841,23502
"Motley County, Texas",1252,23807
"Coleman County, Texas",8334,26692
"Medina County, Texas",50057,26529
"Henderson County, Texas",81070,23787
"Lamar County, Texas",49611,25175
"Kimble County, Texas",4373,25094
"Washington County, Texas",35163,28376
"Stephens County, Texas",9364,22206
"Andrews County, Texas",18036,33373
"Gonzales County, Texas",20731,27132
"Lynn County, Texas",5830,25000
"Zapata County, Texas",14304,17256
"Hood County, Texas",58318,31204
"King County, Texas",237,33750
"Cherokee County, Texas",52118,23891
"Delta County, Texas",5249,26636
"Jones County, Texas",19943,21856
"Windham County, Connecticut",116566,32078
"New London County, Connecticut",267390,35785
"Middlesex County, Connecticut",163053,42907
"Tolland County, Connecticut",151063,37303
"Fairfield County, Connecticut",943926,40609
"Washington County, Florida",24764,21452
"Duval County, Florida",936186,30608
"Bradford County, Florida",27317,24309
"Brevard County, Florida",585507,28542
"Clay County, Florida",211405,32036
"Lafayette County, Florida",8637,21923
"Lake County, Florida",345867,27221
"Nassau County, Florida",83098,31965
"Pinellas County, Florida",964666,30009
"Polk County, Florida",686218,26032
"St. Lucie County, Florida",312947,26425
"Glades County, Florida",13516,21698
"Hendry County, Florida",40732,21225
"Indian River County, Florida",153989,27382
"Jackson County, Florida",47945,23053
"St. Johns County, Florida",244674,36462
"Seminole County, Florida",461402,32734
"Bay County, Florida",182161,27495
"Flagler County, Florida",109801,26821
"Gulf County, Florida",15576,26523
"Liberty County, Florida",8345,21920
"Osceola County, Florida",351955,23483
"Walton County, Florida",68262,28513
"Gadsden County, Florida",45945,25734
"Jefferson County, Florida",14161,27978
"Marion County, Florida",353526,24501
"Hardee County, Florida",27131,21744
"Okeechobee County, Florida",41144,22631
"Orange County, Florida",1349746,28064
"Gilchrist County, Florida",17953,22882
"Suwannee County, Florida",44046,22987
"Alachua County, Florida",265443,25648
"Calhoun County, Florida",14362,23568
"Charlotte County, Florida",181067,26006
"Dixie County, Florida",16589,22643
"Martin County, Florida",159065,30801
"Sarasota County, Florida",419496,31707
"Manatee County, Florida",384213,29551
"Citrus County, Florida",145169,24413
"Baker County, Florida",28211,28349
"Santa Rosa County, Florida",174755,31273
"Leon County, Florida",289770,27751
"Broward County, Florida",1926205,30277
"Monroe County, Florida",75798,35539
"Hernando County, Florida",186313,25217
"Hillsborough County, Florida",1422278,30363
"Taylor County, Florida",21870,21515
"Wakulla County, Florida",32321,31163
"McDuffie County, Georgia",21455,22257
"Morgan County, Georgia",18507,30978
"Heard County, Georgia",11736,25532
"Dougherty County, Georgia",89703,21959
"Fannin County, Georgia",25395,25062
"Houston County, Georgia",153507,31668
"Laurens County, Georgia",47405,22223
"Spalding County, Georgia",65306,24805
"Telfair County, Georgia",16035,18562
"Warren County, Indiana",8237,31885
"Vermillion County, Indiana",15539,28558
"Wells County, Indiana",28011,30174
"Allen County, Indiana",372575,30325
"Decatur County, Indiana",26562,30464
"Delaware County, Indiana",115020,22613
"Floyd County, Indiana",77320,31865
"Jefferson County, Indiana",32201,27018
"Jennings County, Indiana",27710,28491
"Johnson County, Indiana",153716,35832
"Miami County, Indiana",35815,27576
"Morgan County, Indiana",69922,31019
"Gibson County, Indiana",33656,30141
"Newton County, Indiana",13992,28690
"Orange County, Indiana",19545,24555
"St. Joseph County, Indiana",270216,27208
"Kosciusko County, Indiana",79035,30452
"Marshall County, Indiana",46461,27595
"Switzerland County, Indiana",10685,27114
"Vanderburgh County, Indiana",181291,27095
"Blackford County, Indiana",12013,25424
"Scott County, Indiana",23759,25470
"Monroe County, Indiana",146461,22409
"Elkhart County, Indiana",204558,29100
"Crawford County, Indiana",10569,23847
"Cass County, Indiana",37880,28120
