NAME,Population,Median_Income
"Vigo County, Indiana",107305,25377
"Warrick County, Indiana",62608,37540
"Wells County, Indiana",28010,31808
"Barnstable County, Massachusetts",213505,38200
"Dukes County, Massachusetts",17430,40064
"Hampden County, Massachusetts",466647,30381
"Nantucket County, Massachusetts",11212,48785
"Darke County, Ohio",51387,30078
"Erie County, Ohio",74419,31291
"Franklin County, Ohio",1304715,34256
"Geauga County, Ohio",93657,37102
"Hamilton County, Ohio",815790,32732
"Harrison County, Ohio",15132,26331
"Highland County, Ohio",43080,25039
"Huron County, Ohio",58271,30466
"Nevada County, Arkansas",8249,22471
"Newton County, Arkansas",7753,20681
"Ouachita County, Arkansas",23597,21690
"Perry County, Arkansas",10342,22142
"Phillips County, Arkansas",18151,22430
"Pike County, Arkansas",10714,22135
"Poinsett County, Arkansas",23747,22237
"Polk County, Arkansas",19999,22047
"Pope County, Arkansas",63926,22100
"Prairie County, Arkansas",8138,27083
"Pulaski County, Arkansas",393078,31436
"Randolph County, Arkansas",17934,22237
"St. Francis County, Arkansas",25477,20724
"Saline County, Arkansas",120990,32961
"Scott County, Arkansas",10269,22762
"Searcy County, Arkansas",7898,18598
"Sebastian County, Arkansas",127670,26269
"Sevier County, Arkansas",16947,23875
"Sharp County, Arkansas",17217,19569
"Stone County, Arkansas",12582,17672
"Union County, Arkansas",39089,25496
"Washington County, Arkansas",236198,29201
"White County, Arkansas",78725,23405
"Yell County, Arkansas",21425,24810
"Hartford County, Connecticut",892153,38717
"Litchfield County, Connecticut",181143,39349
"New Haven County, Connecticut",855733,36670
"New London County, Connecticut",266868,37317
"Windham County, Connecticut",116657,32593
"District of Columbia, District of Columbia",701974,52328
"Aleutians West Census Area, Alaska",5708,43162
"Anchorage Municipality, Alaska",292090,39063
"Bristol Bay Borough, Alaska",739,43015
"Chugach Census Area, Alaska",6495,38289
"Denali Borough, Alaska",2502,25640
"Dillingham Census Area, Alaska",4934,23157
"Haines Borough, Alaska",2547,33500
"Hoonah-Angoon Census Area, Alaska",2135,30000
"Kenai Peninsula Borough, Alaska",58809,31615
"Ketchikan Gateway Borough, Alaska",13833,36494
"Kusilvak Census Area, Alaska",8298,12045
"Matanuska-Susitna Borough, Alaska",107360,30508
"Nome Census Area, Alaska",10009,22015
"Northwest Arctic Borough, Alaska",7709,20581
"Petersburg Borough, Alaska",3278,26401
"Sitka City and Borough, Alaska",8569,41174
"Skagway Municipality, Alaska",1300,36071
"Wrangell City and Borough, Alaska",2510,30054
"Yakutat City and Borough, Alaska",597,31282
"Yukon-Koyukuk Census Area, Alaska",5305,20271
"Alamosa County, Colorado",16153,23667
"Archuleta County, Colorado",13588,26769
"Baca County, Colorado",3570,22930
"Boulder County, Colorado",324682,38758
"Broomfield County, Colorado",69444,49286
"Cheyenne County, Colorado",1999,38615
"Conejos County, Colorado",8130,23201
"Costilla County, Colorado",3810,18945
"Ralls County, Missouri",10258,28197
"Randolph County, Missouri",24769,27605
"Ray County, Missouri",22900,31795
"Reynolds County, Missouri",6274,22305
"Ripley County, Missouri",13484,17493
"St. Charles County, Missouri",398472,40727
"St. Clair County, Missouri",9455,22220
"Ste. Genevieve County, Missouri",17887,29749
"St. Francois County, Missouri",66653,23630
"St. Louis County, Missouri",996179,36555
"Saline County, Missouri",22932,25203
"Schuyler County, Missouri",4550,23740
"Scotland County, Missouri",4923,26814
"Scott County, Missouri",38538,25159
"Shelby County, Missouri",5975,26157
"Stoddard County, Missouri",29255,23416
"Sullivan County, Missouri",6163,25938
"Taney County, Missouri",55563,25194
"Vernon County, Missouri",20560,25771
"Warren County, Missouri",35090,31246
"Wayne County, Missouri",13058,20610
"Webster County, Missouri",39127,27610
"Wright County, Missouri",18256,20740
"Alachua County, Florida",268105,26526
"Baker County, Florida",28679,30176
"Bradford County, Florida",27723,25122
"Brevard County, Florida",594001,29652
"Calhoun County, Florida",14324,23162
"Charlotte County, Florida",185926,26947
"Clay County, Florida",215294,32871
"Collier County, Florida",379345,32201
"DeSoto County, Florida",37371,21518
"Dixie County, Florida",16740,23446
"Escambia County, Florida",316691,27315
"Flagler County, Florida",112854,28000
"Gadsden County, Florida",45787,25421
"Gilchrist County, Florida",18245,23568
"Gulf County, Florida",15073,29336
"Hamilton County, Florida",14397,21218
"Hendry County, Florida",41472,22669
"Hernando County, Florida",190700,25692
"Hillsborough County, Florida",1451358,31269
"Holmes County, Florida",19530,21991
"Jackson County, Florida",47409,23870
"Jefferson County, Florida",14278,28199
"Lake County, Florida",356115,27396
"Lee County, Florida",756570,29562
"Levy County, Florida",40979,21609
"Madison County, Florida",18557,20576
"Manatee County, Florida",393847,29953
